iter	Passed	Remaining
0	149	148972
1	150	75104
2	151	50405
3	152	38049
4	154	30682
5	155	25754
6	156	22256
7	158	19628
8	159	17597
9	161	15952
10	162	14607
11	163	13483
12	164	12525
13	166	11708
14	167	10993
15	168	10367
16	169	9823
17	171	9336
18	172	8912
19	174	8526
20	175	8170
21	176	7849
22	177	7555
23	179	7284
24	180	7033
25	181	6800
26	182	6585
27	183	6385
28	185	6200
29	186	6030
30	187	5869
31	188	5716
32	190	5572
33	191	5434
34	192	5304
35	193	5182
36	194	5067
37	196	4963
38	197	4860
39	198	4762
40	199	4671
41	201	4587
42	202	4503
43	203	4421
44	204	4345
45	205	4270
46	207	4198
47	208	4131
48	209	4067
49	210	4004
50	211	3944
51	213	3888
52	214	3834
53	215	3780
54	216	3728
55	218	3677
56	219	3628
57	220	3580
58	221	3535
59	222	3491
60	224	3448
61	225	3406
62	226	3366
63	227	3326
64	228	3293
65	230	3258
66	231	3222
67	232	3187
68	233	3153
69	234	3120
70	236	3090
71	237	3059
72	238	3029
73	239	2999
74	240	2970
75	242	2942
76	243	2917
77	244	2892
78	245	2866
79	247	2840
80	248	2815
81	249	2791
82	250	2762
83	251	2739
84	252	2717
85	253	2695
86	254	2673
87	255	2652
88	257	2633
89	258	2613
90	259	2594
91	260	2575
92	262	2555
93	263	2537
94	264	2519
95	265	2502
96	266	2484
97	267	2466
98	269	2448
99	270	2431
100	271	2415
101	272	2399
102	273	2384
103	275	2369
104	276	2354
105	277	2338
106	278	2325
107	279	2311
108	281	2297
109	282	2283
110	283	2269
111	284	2256
112	285	2243
113	287	2232
114	288	2220
115	289	2208
116	290	2193
117	291	2181
118	293	2169
119	294	2157
120	295	2146
121	296	2133
122	297	2123
123	299	2112
124	300	2101
125	301	2091
126	302	2080
127	303	2070
128	305	2059
129	306	2048
130	307	2038
131	308	2028
132	309	2018
133	310	2008
134	311	1998
135	313	1988
136	314	1978
137	315	1970
138	316	1962
139	318	1954
140	319	1945
141	320	1934
142	321	1926
143	322	1918
144	323	1909
145	324	1900
146	326	1892
147	327	1884
148	328	1876
149	329	1867
150	331	1861
151	332	1853
152	333	1846
153	334	1838
154	335	1830
155	337	1823
156	338	1815
157	339	1808
158	340	1800
